ts,o,h,l,c,v
1790247660,0.00017008042745097538,0.00017272826062625328,0.00017008042745097538,0.0001702699446536219,190.76164507708236
1790247720,0.0001702699446536219,0.00017274629995230848,0.0001565418127293063,0.00015866058077968975,972.3981450908582
1790247780,0.00015866058077968975,0.00015904971361185591,0.00015420689131633798,0.00015420689131633798,199.00225789296013
1790247840,0.00015420689131633798,0.00015727078122692009,0.0001535352392582187,0.00015707725611184935,397.9448710239647
1790247900,0.00015707725611184935,0.00015723365724370827,0.0001537688452561255,0.0001537688452561255,258.9389255400458
1790247960,0.0001537688452561255,0.00015945218408221906,0.0001537688452561255,0.0001568119716522322,373.39424645154156
1790248020,0.0001568119716522322,0.00015988549535203415,0.00015637948098200008,0.00015988549535203415,170.994653845775
1790248080,0.00015988549535203415,0.00016125568202758416,0.00015871271891152843,0.00015871271891152843,44.26028694143472
1790248140,0.00015871271891152843,0.0001611574472964334,0.00015871271891152843,0.00016108612610723244,27.781536049954546
1790248200,0.00016108612610723244,0.0001623529396320635,0.00015972025304200003,0.000161869330633087,137.08510253577145
1790248260,0.000161869330633087,0.00016260101515545841,0.0001592866980519712,0.0001610894269984203,402.5898371560117
1790248320,0.0001610894269984203,0.00016130973511552886,0.00015898910990441243,0.0001592726018082639,169.74565923103293
1790248380,0.0001592726018082639,0.00016163982501712148,0.00015916281716334203,0.00015916281716334203,66.50981110769989
1790248440,0.00015916281716334203,0.00016000579575494762,0.0001550692212526993,0.0001550692212526993,472.40953471470544
1790248500,0.0001550692212526993,0.0001550692212526993,0.00014718932387878896,0.00014718932387878896,396.18574667526474
1790248560,0.00014718932387878896,0.0001507118615896545,0.0001466236869441365,0.0001466236869441365,391.0277781255229
1790248620,0.0001466236869441365,0.00015073871129984287,0.0001466236869441365,0.00015073871129984287,165.37628937884304
1790248680,0.00015073871129984287,0.000151246253835267,0.00014555434164544197,0.0001471557859556983,295.01509837138684
1790248740,0.0001471557859556983,0.00015169923824102864,0.00014692195710460233,0.00015169923824102864,326.3832664984108
1790248800,0.00015169923824102864,0.00015332683365839082,0.00015029633855005774,0.00015332683365839082,151.29717672993007
1790248860,0.00015332683365839082,0.00015373359561479796,0.00015154444776126522,0.00015373359561479796,35.84590937867409
1790248920,0.00015373359561479796,0.00015733740268169234,0.0001493768132105807,0.00014995109835906723,926.8594083068475
1790248980,0.00014995109835906723,0.00015556457261563442,0.00014995109835906723,0.00015556457261563442,363.0943878868692
1790249040,0.00015556457261563442,0.00015689584804837932,0.00015343155531859348,0.00015584628488614832,187.46821022105615
1790249100,0.00015584628488614832,0.00015968659212803427,0.00015584628488614832,0.00015757831621260096,144.84759815355864
1790249160,0.00015757831621260096,0.00016663395634177038,0.0001571999027377961,0.00016613279675102132,697.495034294752
1790249220,0.00016613279675102132,0.00016920790557992392,0.00016613138619335862,0.00016920790557992392,70.42518994366463
1790249340,0.00016920790557992392,0.00016920790557992392,0.00015643712709063884,0.000160048911274654,1116.1281584788824
1790249400,0.000160048911274654,0.00016119212047130765,0.0001587850513187313,0.00016119212047130765,54.41225818557897
1790249460,0.00016119212047130765,0.00016202965478476762,0.0001601765488460852,0.0001601765488460852,64.99388310358684
1790249520,0.0001601765488460852,0.00016223211632908116,0.00015902108731162036,0.00015902108731162036,144.51842064969708
1790249580,0.00015902108731162036,0.00015923634189597257,0.0001564473261040068,0.0001564473261040068,155.77785465332
1790249640,0.0001564473261040068,0.00016854861615081307,0.000154467181202068,0.00016854861615081307,1052.4092142347656
1790249700,0.00016854861615081307,0.00017659614474872207,0.00016692577738876215,0.00017574403915028908,768.2120205084544
1790249760,0.00017574403915028908,0.00017797201095035568,0.00017538138463556069,0.00017538138463556069,27.254539145776914
